# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_waterdata_support@usgs.gov
# retrieved: 2023-07-14 12:27:47 EDT       (vaww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 01113895 BLACKSTONE R AT ROOSEVELT ST AT PAWTUCKET RI
# -----------------------------------------------------------------------------------
#
# Data provided for site 01113895
#            TS   parameter     statistic     Description
#         64316       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	64316_00060_00003	64316_00060_00003_cd
5s	15s	20d	14n	10s
USGS	01113895	2020-01-01	2380	A
USGS	01113895	2020-01-02	1940	A
USGS	01113895	2020-01-03	1640	A
USGS	01113895	2020-01-04	1470	A
USGS	01113895	2020-01-05	1540	A
USGS	01113895	2020-01-06	1500	A
USGS	01113895	2020-01-07	1370	A
USGS	01113895	2020-01-08	1320	A
USGS	01113895	2020-01-09	1260	A
USGS	01113895	2020-01-10	1160	A
USGS	01113895	2020-01-11	1120	A
USGS	01113895	2020-01-12	1210	A
USGS	01113895	2020-01-13	1240	A
USGS	01113895	2020-01-14	1140	A
USGS	01113895	2020-01-15	1060	A
USGS	01113895	2020-01-16	1010	A
USGS	01113895	2020-01-17	984	A
USGS	01113895	2020-01-18	902	A
USGS	01113895	2020-01-19	893	A
USGS	01113895	2020-01-20	889	A
USGS	01113895	2020-01-21	824	A
USGS	01113895	2020-01-22	768	A
USGS	01113895	2020-01-23	750	A
USGS	01113895	2020-01-24	742	A
USGS	01113895	2020-01-25	764	A
USGS	01113895	2020-01-26	1590	A
USGS	01113895	2020-01-27	1760	A
USGS	01113895	2020-01-28	1400	A
USGS	01113895	2020-01-29	1220	A
USGS	01113895	2020-01-30	1080	A
USGS	01113895	2020-01-31	991	A
USGS	01113895	2020-02-01	918	A
USGS	01113895	2020-02-02	910	A
USGS	01113895	2020-02-03	885	A
USGS	01113895	2020-02-04	836	A
USGS	01113895	2020-02-05	817	A
USGS	01113895	2020-02-06	942	A
USGS	01113895	2020-02-07	1140	A
USGS	01113895	2020-02-08	1330	A
USGS	01113895	2020-02-09	1170	A
USGS	01113895	2020-02-10	1080	A
USGS	01113895	2020-02-11	1250	A
USGS	01113895	2020-02-12	1310	A
USGS	01113895	2020-02-13	1420	A
USGS	01113895	2020-02-14	1730	A
USGS	01113895	2020-02-15	1510	A
USGS	01113895	2020-02-16	1280	A
USGS	01113895	2020-02-17	1190	A
USGS	01113895	2020-02-18	1140	A
USGS	01113895	2020-02-19	1180	A:e
USGS	01113895	2020-02-20	1160	A:e
USGS	01113895	2020-02-21	1040	A
USGS	01113895	2020-02-22	949	A
USGS	01113895	2020-02-23	894	A
USGS	01113895	2020-02-24	900	A
USGS	01113895	2020-02-25	883	A
USGS	01113895	2020-02-26	928	A
USGS	01113895	2020-02-27	1200	A
USGS	01113895	2020-02-28	1600	A
USGS	01113895	2020-02-29	1310	A
USGS	01113895	2020-03-01	1090	A
USGS	01113895	2020-03-02	1000	A
USGS	01113895	2020-03-03	974	A
USGS	01113895	2020-03-04	975	A
USGS	01113895	2020-03-05	910	A
USGS	01113895	2020-03-06	826	A
USGS	01113895	2020-03-07	786	A
USGS	01113895	2020-03-08	718	A
USGS	01113895	2020-03-09	706	A
USGS	01113895	2020-03-10	681	A
USGS	01113895	2020-03-11	651	A
USGS	01113895	2020-03-12	624	A
USGS	01113895	2020-03-13	666	A
USGS	01113895	2020-03-14	834	A
USGS	01113895	2020-03-15	794	A
USGS	01113895	2020-03-16	727	A
USGS	01113895	2020-03-17	683	A
USGS	01113895	2020-03-18	664	A
USGS	01113895	2020-03-19	842	A
USGS	01113895	2020-03-20	1250	A
USGS	01113895	2020-03-21	1120	A
USGS	01113895	2020-03-22	928	A
USGS	01113895	2020-03-23	882	A
USGS	01113895	2020-03-24	2110	A
USGS	01113895	2020-03-25	2480	A
USGS	01113895	2020-03-26	1920	A
USGS	01113895	2020-03-27	1530	A
USGS	01113895	2020-03-28	1310	A
USGS	01113895	2020-03-29	1500	A
USGS	01113895	2020-03-30	2120	A
USGS	01113895	2020-03-31	2060	A
USGS	01113895	2020-04-01	1740	A
USGS	01113895	2020-04-02	1520	A
USGS	01113895	2020-04-03	1640	A
USGS	01113895	2020-04-04	2300	A
USGS	01113895	2020-04-05	2300	A
USGS	01113895	2020-04-06	1930	A
USGS	01113895	2020-04-07	1620	A
USGS	01113895	2020-04-08	1440	A
USGS	01113895	2020-04-09	1530	A
USGS	01113895	2020-04-10	2010	A
USGS	01113895	2020-04-11	1870	A
USGS	01113895	2020-04-12	1600	A
USGS	01113895	2020-04-13	1870	A
USGS	01113895	2020-04-14	3530	A
USGS	01113895	2020-04-15	3230	A
USGS	01113895	2020-04-16	2390	A
USGS	01113895	2020-04-17	1950	A
USGS	01113895	2020-04-18	1910	A
USGS	01113895	2020-04-19	2070	A
USGS	01113895	2020-04-20	2020	A
USGS	01113895	2020-04-21	1850	A
USGS	01113895	2020-04-22	2110	A
USGS	01113895	2020-04-23	1940	A
USGS	01113895	2020-04-24	1740	A
USGS	01113895	2020-04-25	1690	A
USGS	01113895	2020-04-26	1560	A
USGS	01113895	2020-04-27	1710	A
USGS	01113895	2020-04-28	2050	A
USGS	01113895	2020-04-29	1970	A
USGS	01113895	2020-04-30	1810	A
USGS	01113895	2020-05-01	2610	A
USGS	01113895	2020-05-02	3170	A
USGS	01113895	2020-05-03	2570	A
USGS	01113895	2020-05-04	2080	A
USGS	01113895	2020-05-05	1780	A
USGS	01113895	2020-05-06	1520	A
USGS	01113895	2020-05-07	1340	A
USGS	01113895	2020-05-08	1280	A
USGS	01113895	2020-05-09	1410	A
USGS	01113895	2020-05-10	1390	A
USGS	01113895	2020-05-11	1290	A
USGS	01113895	2020-05-12	1320	A
USGS	01113895	2020-05-13	1220	A
USGS	01113895	2020-05-14	1080	A
USGS	01113895	2020-05-15	1040	A
USGS	01113895	2020-05-16	1500	A
USGS	01113895	2020-05-17	1520	A
USGS	01113895	2020-05-18	1250	A
USGS	01113895	2020-05-19	1060	A
USGS	01113895	2020-05-20	951	A
USGS	01113895	2020-05-21	864	A
USGS	01113895	2020-05-22	783	A
USGS	01113895	2020-05-23	749	A
USGS	01113895	2020-05-24	690	A
USGS	01113895	2020-05-25	651	A
USGS	01113895	2020-05-26	627	A
USGS	01113895	2020-05-27	599	A
USGS	01113895	2020-05-28	532	A
USGS	01113895	2020-05-29	606	A
USGS	01113895	2020-05-30	533	A
USGS	01113895	2020-05-31	479	A
USGS	01113895	2020-06-01	463	A
USGS	01113895	2020-06-02	413	A
USGS	01113895	2020-06-03	400	A
USGS	01113895	2020-06-04	365	A
USGS	01113895	2020-06-05	391	A
USGS	01113895	2020-06-06	431	A
USGS	01113895	2020-06-07	582	A
USGS	01113895	2020-06-08	498	A
USGS	01113895	2020-06-09	422	A
USGS	01113895	2020-06-10	392	A
USGS	01113895	2020-06-11	389	A
USGS	01113895	2020-06-12	510	A
USGS	01113895	2020-06-13	421	A
USGS	01113895	2020-06-14	369	A
USGS	01113895	2020-06-15	312	A
USGS	01113895	2020-06-16	282	A
USGS	01113895	2020-06-17	274	A
USGS	01113895	2020-06-18	246	A
USGS	01113895	2020-06-19	238	A
USGS	01113895	2020-06-20	223	A
USGS	01113895	2020-06-21	208	A
USGS	01113895	2020-06-22	203	A
USGS	01113895	2020-06-23	178	A
USGS	01113895	2020-06-24	197	A
USGS	01113895	2020-06-25	205	A
USGS	01113895	2020-06-26	192	A
USGS	01113895	2020-06-27	195	A
USGS	01113895	2020-06-28	433	A
USGS	01113895	2020-06-29	2240	A
USGS	01113895	2020-06-30	1390	A
USGS	01113895	2020-07-01	1320	A
USGS	01113895	2020-07-02	1040	A
USGS	01113895	2020-07-03	791	A
USGS	01113895	2020-07-04	647	A
USGS	01113895	2020-07-05	490	A
USGS	01113895	2020-07-06	417	A
USGS	01113895	2020-07-07	362	A
USGS	01113895	2020-07-08	331	A
USGS	01113895	2020-07-09	311	A
USGS	01113895	2020-07-10	286	A
USGS	01113895	2020-07-11	293	A
USGS	01113895	2020-07-12	307	A
USGS	01113895	2020-07-13	293	A
USGS	01113895	2020-07-14	259	A
USGS	01113895	2020-07-15	271	A
USGS	01113895	2020-07-16	220	A
USGS	01113895	2020-07-17	222	A
USGS	01113895	2020-07-18	222	A
USGS	01113895	2020-07-19	205	A
USGS	01113895	2020-07-20	191	A
USGS	01113895	2020-07-21	173	A
USGS	01113895	2020-07-22	143	A
USGS	01113895	2020-07-23	171	A
USGS	01113895	2020-07-24	183	A
USGS	01113895	2020-07-25	170	A
USGS	01113895	2020-07-26	163	A
USGS	01113895	2020-07-27	152	A
USGS	01113895	2020-07-28	123	A
USGS	01113895	2020-07-29	121	A
USGS	01113895	2020-07-30	131	A
USGS	01113895	2020-07-31	132	A
USGS	01113895	2020-08-01	131	A
USGS	01113895	2020-08-02	127	A
USGS	01113895	2020-08-03	134	A
USGS	01113895	2020-08-04	204	A
USGS	01113895	2020-08-05	183	A
USGS	01113895	2020-08-06	168	A
USGS	01113895	2020-08-07	133	A
USGS	01113895	2020-08-08	116	A
USGS	01113895	2020-08-09	113	A
USGS	01113895	2020-08-10	113	A
USGS	01113895	2020-08-11	110	A
USGS	01113895	2020-08-12	109	A
USGS	01113895	2020-08-13	108	A
USGS	01113895	2020-08-14	96.6	A
USGS	01113895	2020-08-15	98.6	A
USGS	01113895	2020-08-16	101	A
USGS	01113895	2020-08-17	116	A
USGS	01113895	2020-08-18	136	A
USGS	01113895	2020-08-19	127	A
USGS	01113895	2020-08-20	126	A
USGS	01113895	2020-08-21	130	A
USGS	01113895	2020-08-22	113	A
USGS	01113895	2020-08-23	111	A
USGS	01113895	2020-08-24	232	A
USGS	01113895	2020-08-25	307	A
USGS	01113895	2020-08-26	172	A
USGS	01113895	2020-08-27	153	A
USGS	01113895	2020-08-28	244	A
USGS	01113895	2020-08-29	242	A
USGS	01113895	2020-08-30	201	A
USGS	01113895	2020-08-31	182	A
USGS	01113895	2020-09-01	147	A
USGS	01113895	2020-09-02	144	A
USGS	01113895	2020-09-03	158	A
USGS	01113895	2020-09-04	186	A
USGS	01113895	2020-09-05	153	A
USGS	01113895	2020-09-06	136	A
USGS	01113895	2020-09-07	132	A
USGS	01113895	2020-09-08	122	A
USGS	01113895	2020-09-09	115	A
USGS	01113895	2020-09-10	126	A
USGS	01113895	2020-09-11	141	A
USGS	01113895	2020-09-12	169	A
USGS	01113895	2020-09-13	138	A
USGS	01113895	2020-09-14	133	A
USGS	01113895	2020-09-15	124	A
USGS	01113895	2020-09-16	121	A
USGS	01113895	2020-09-17	122	A
USGS	01113895	2020-09-18	123	A
USGS	01113895	2020-09-19	119	A
