# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_waterdata_support@usgs.gov
# retrieved: 2023-07-14 12:25:26 EDT       (vaww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 01117000 HUNT RIVER NEAR EAST GREENWICH, RI
# -----------------------------------------------------------------------------------
#
# Data provided for site 01117000
#            TS   parameter     statistic     Description
#         64365       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
# 
agency_cd	site_no	datetime	64365_00060_00003	64365_00060_00003_cd
5s	15s	20d	14n	10s
USGS	01117000	2020-01-01	132	A
USGS	01117000	2020-01-02	95.0	A
USGS	01117000	2020-01-03	79.3	A
USGS	01117000	2020-01-04	73.9	A
USGS	01117000	2020-01-05	76.0	A
USGS	01117000	2020-01-06	71.8	A
USGS	01117000	2020-01-07	65.9	A
USGS	01117000	2020-01-08	63.9	A
USGS	01117000	2020-01-09	59.5	A
USGS	01117000	2020-01-10	55.9	A
USGS	01117000	2020-01-11	55.1	A
USGS	01117000	2020-01-12	60.8	A
USGS	01117000	2020-01-13	61.9	A
USGS	01117000	2020-01-14	57.3	A
USGS	01117000	2020-01-15	54.2	A
USGS	01117000	2020-01-16	52.4	A
USGS	01117000	2020-01-17	47.9	A
USGS	01117000	2020-01-18	41.6	A
USGS	01117000	2020-01-19	45.5	A
USGS	01117000	2020-01-20	48.2	A
USGS	01117000	2020-01-21	41.8	A
USGS	01117000	2020-01-22	38.6	A
USGS	01117000	2020-01-23	38.4	A
USGS	01117000	2020-01-24	38.9	A
USGS	01117000	2020-01-25	43.4	A
USGS	01117000	2020-01-26	77.7	A
USGS	01117000	2020-01-27	67.7	A
USGS	01117000	2020-01-28	55.3	A
USGS	01117000	2020-01-29	45.7	A
USGS	01117000	2020-01-30	40.5	A
USGS	01117000	2020-01-31	38.5	A
USGS	01117000	2020-02-01	39.4	A
USGS	01117000	2020-02-02	39.8	A
USGS	01117000	2020-02-03	38.6	A
USGS	01117000	2020-02-04	37.9	A
USGS	01117000	2020-02-05	38.8	A
USGS	01117000	2020-02-06	48.9	A
USGS	01117000	2020-02-07	66.1	A
USGS	01117000	2020-02-08	65.3	A
USGS	01117000	2020-02-09	51.0	A
USGS	01117000	2020-02-10	45.4	A
USGS	01117000	2020-02-11	52.7	A
USGS	01117000	2020-02-12	60.8	A
USGS	01117000	2020-02-13	78.9	A
USGS	01117000	2020-02-14	85.1	A
USGS	01117000	2020-02-15	63.9	A
USGS	01117000	2020-02-16	53.7	A
USGS	01117000	2020-02-17	51.9	A
USGS	01117000	2020-02-18	48.4	A
USGS	01117000	2020-02-19	48.3	A
USGS	01117000	2020-02-20	44.8	A
USGS	01117000	2020-02-21	41.5	A
USGS	01117000	2020-02-22	39.5	A
USGS	01117000	2020-02-23	38.9	A
USGS	01117000	2020-02-24	38.3	A
USGS	01117000	2020-02-25	38.2	A
USGS	01117000	2020-02-26	40.0	A
USGS	01117000	2020-02-27	74.6	A
USGS	01117000	2020-02-28	75.3	A
USGS	01117000	2020-02-29	57.3	A
USGS	01117000	2020-03-01	45.5	A
USGS	01117000	2020-03-02	40.8	A
USGS	01117000	2020-03-03	41.5	A
USGS	01117000	2020-03-04	53.4	A
USGS	01117000	2020-03-05	46.2	A
USGS	01117000	2020-03-06	40.9	A
USGS	01117000	2020-03-07	41.6	A
USGS	01117000	2020-03-08	39.9	A
USGS	01117000	2020-03-09	37.9	A
USGS	01117000	2020-03-10	36.8	A
USGS	01117000	2020-03-11	35.9	A
USGS	01117000	2020-03-12	35.1	A
USGS	01117000	2020-03-13	41.1	A
USGS	01117000	2020-03-14	49.5	A
USGS	01117000	2020-03-15	40.0	A
USGS	01117000	2020-03-16	36.3	A
USGS	01117000	2020-03-17	38.2	A
USGS	01117000	2020-03-18	40.1	A
USGS	01117000	2020-03-19	66.3	A
USGS	01117000	2020-03-20	79.8	A
USGS	01117000	2020-03-21	60.5	A
USGS	01117000	2020-03-22	46.3	A
USGS	01117000	2020-03-23	51.5	A
USGS	01117000	2020-03-24	189	A
USGS	01117000	2020-03-25	122	A
USGS	01117000	2020-03-26	83.8	A
USGS	01117000	2020-03-27	69.1	A
USGS	01117000	2020-03-28	62.3	A
USGS	01117000	2020-03-29	107	A
USGS	01117000	2020-03-30	126	A
USGS	01117000	2020-03-31	93.6	A
USGS	01117000	2020-04-01	76.7	A
USGS	01117000	2020-04-02	70.5	A
USGS	01117000	2020-04-03	73.9	A
USGS	01117000	2020-04-04	76.3	A
USGS	01117000	2020-04-05	68.4	A
USGS	01117000	2020-04-06	63.9	A
USGS	01117000	2020-04-07	59.7	A
USGS	01117000	2020-04-08	58.0	A
USGS	01117000	2020-04-09	69.9	A
USGS	01117000	2020-04-10	95.1	A
USGS	01117000	2020-04-11	74.7	A
USGS	01117000	2020-04-12	63.0	A
USGS	01117000	2020-04-13	102	A
USGS	01117000	2020-04-14	192	A
USGS	01117000	2020-04-15	123	A
USGS	01117000	2020-04-16	91.2	A
USGS	01117000	2020-04-17	77.6	A
USGS	01117000	2020-04-18	101	A
USGS	01117000	2020-04-19	102	A
USGS	01117000	2020-04-20	84.2	A
USGS	01117000	2020-04-21	79.0	A
USGS	01117000	2020-04-22	88.3	A
USGS	01117000	2020-04-23	76.1	A
USGS	01117000	2020-04-24	81.0	A
USGS	01117000	2020-04-25	86.7	A
USGS	01117000	2020-04-26	79.2	A
USGS	01117000	2020-04-27	98.7	A
USGS	01117000	2020-04-28	91.7	A
USGS	01117000	2020-04-29	79.2	A
USGS	01117000	2020-04-30	83.3	A
USGS	01117000	2020-05-01	179	A
USGS	01117000	2020-05-02	164	A
USGS	01117000	2020-05-03	111	A
USGS	01117000	2020-05-04	90.8	A
USGS	01117000	2020-05-05	80.7	A
USGS	01117000	2020-05-06	76.4	A
USGS	01117000	2020-05-07	83.0	A
USGS	01117000	2020-05-08	77.1	A
USGS	01117000	2020-05-09	99.1	A
USGS	01117000	2020-05-10	85.4	A
USGS	01117000	2020-05-11	74.7	A
USGS	01117000	2020-05-12	70.1	A
USGS	01117000	2020-05-13	65.0	A
USGS	01117000	2020-05-14	62.5	A
USGS	01117000	2020-05-15	65.3	A
USGS	01117000	2020-05-16	76.2	A
USGS	01117000	2020-05-17	68.7	A
USGS	01117000	2020-05-18	62.5	A
USGS	01117000	2020-05-19	57.9	A
USGS	01117000	2020-05-20	53.5	A
USGS	01117000	2020-05-21	49.9	A
USGS	01117000	2020-05-22	46.0	A
USGS	01117000	2020-05-23	50.9	A
USGS	01117000	2020-05-24	65.7	A
USGS	01117000	2020-05-25	55.7	A
USGS	01117000	2020-05-26	47.6	A
USGS	01117000	2020-05-27	42.4	A
USGS	01117000	2020-05-28	40.1	A
USGS	01117000	2020-05-29	44.1	A
USGS	01117000	2020-05-30	41.9	A
USGS	01117000	2020-05-31	36.4	A
USGS	01117000	2020-06-01	32.8	A
USGS	01117000	2020-06-02	32.0	A
USGS	01117000	2020-06-03	32.1	A
USGS	01117000	2020-06-04	30.5	A
USGS	01117000	2020-06-05	28.8	A
USGS	01117000	2020-06-06	29.8	A
USGS	01117000	2020-06-07	30.6	A
USGS	01117000	2020-06-08	27.9	A
USGS	01117000	2020-06-09	25.8	A
USGS	01117000	2020-06-10	24.1	A
USGS	01117000	2020-06-11	35.1	A
USGS	01117000	2020-06-12	57.7	A
USGS	01117000	2020-06-13	37.8	A
USGS	01117000	2020-06-14	28.0	A
USGS	01117000	2020-06-15	24.3	A
USGS	01117000	2020-06-16	23.1	A
USGS	01117000	2020-06-17	21.7	A
USGS	01117000	2020-06-18	21.3	A
USGS	01117000	2020-06-19	20.6	A
USGS	01117000	2020-06-20	19.8	A
USGS	01117000	2020-06-21	19.0	A
USGS	01117000	2020-06-22	18.3	A
USGS	01117000	2020-06-23	17.5	A
USGS	01117000	2020-06-24	17.3	A
USGS	01117000	2020-06-25	17.0	A
USGS	01117000	2020-06-26	20.8	A
USGS	01117000	2020-06-27	22.9	A
USGS	01117000	2020-06-28	28.6	A
USGS	01117000	2020-06-29	21.5	A
USGS	01117000	2020-06-30	23.2	A
USGS	01117000	2020-07-01	36.1	A
USGS	01117000	2020-07-02	41.5	A
USGS	01117000	2020-07-03	29.7	A
USGS	01117000	2020-07-04	22.7	A
USGS	01117000	2020-07-05	19.4	A
USGS	01117000	2020-07-06	17.3	A
USGS	01117000	2020-07-07	15.6	A
USGS	01117000	2020-07-08	14.8	A
