# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_waterdata_support@usgs.gov
# retrieved: 2023-07-14 12:26:31 EDT       (vaww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 01114000 MOSHASSUCK RIVER AT PROVIDENCE, RI
# -----------------------------------------------------------------------------------
#
# Data provided for site 01114000
#            TS   parameter     statistic     Description
#         64317       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
# 
agency_cd	site_no	datetime	64317_00060_00003	64317_00060_00003_cd
5s	15s	20d	14n	10s
USGS	01114000	2020-01-01	75.2	A
USGS	01114000	2020-01-02	57.4	A
USGS	01114000	2020-01-03	50.7	A
USGS	01114000	2020-01-04	49.8	A
USGS	01114000	2020-01-05	52.6	A
USGS	01114000	2020-01-06	45.4	A
USGS	01114000	2020-01-07	39.9	A
USGS	01114000	2020-01-08	41.9	A
USGS	01114000	2020-01-09	35.4	A
USGS	01114000	2020-01-10	35.1	A
USGS	01114000	2020-01-11	33.6	A
USGS	01114000	2020-01-12	36.1	A
USGS	01114000	2020-01-13	36.0	A
USGS	01114000	2020-01-14	34.0	A
USGS	01114000	2020-01-15	31.5	A
USGS	01114000	2020-01-16	33.7	A
USGS	01114000	2020-01-17	30.8	A
USGS	01114000	2020-01-18	26.4	A
USGS	01114000	2020-01-19	29.8	A
USGS	01114000	2020-01-20	31.4	A
USGS	01114000	2020-01-21	29.0	A
USGS	01114000	2020-01-22	26.1	A
USGS	01114000	2020-01-23	26.0	A
USGS	01114000	2020-01-24	29.7	A
USGS	01114000	2020-01-25	45.5	A
USGS	01114000	2020-01-26	60.2	A
USGS	01114000	2020-01-27	49.8	A
USGS	01114000	2020-01-28	41.5	A
USGS	01114000	2020-01-29	35.7	A
USGS	01114000	2020-01-30	33.4	A
USGS	01114000	2020-01-31	28.8	A
USGS	01114000	2020-02-01	30.9	A
USGS	01114000	2020-02-02	29.3	A
USGS	01114000	2020-02-03	31.1	A
USGS	01114000	2020-02-04	28.4	A
USGS	01114000	2020-02-05	30.1	A
USGS	01114000	2020-02-06	45.7	A
USGS	01114000	2020-02-07	54.5	A
USGS	01114000	2020-02-08	41.2	A
USGS	01114000	2020-02-09	31.5	A
USGS	01114000	2020-02-10	34.1	A
USGS	01114000	2020-02-11	48.1	A
USGS	01114000	2020-02-12	42.5	A
USGS	01114000	2020-02-13	70.6	A
