# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_waterdata_support@usgs.gov
# retrieved: 2023-07-14 12:28:55 EDT       (vaww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 01116500 PAWTUXET RIVER AT CRANSTON, RI
# -----------------------------------------------------------------------------------
#
# Data provided for site 01116500
#            TS   parameter     statistic     Description
#         64363       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
# 
agency_cd	site_no	datetime	64363_00060_00003	64363_00060_00003_cd
5s	15s	20d	14n	10s
USGS	01116500	2020-01-01	555	A
USGS	01116500	2020-01-02	472	A
USGS	01116500	2020-01-03	589	A
USGS	01116500	2020-01-04	626	A
USGS	01116500	2020-01-05	646	A
USGS	01116500	2020-01-06	619	A
USGS	01116500	2020-01-07	601	A
USGS	01116500	2020-01-08	595	A
USGS	01116500	2020-01-09	570	A
USGS	01116500	2020-01-10	526	A
USGS	01116500	2020-01-11	364	A
USGS	01116500	2020-01-12	373	A
USGS	01116500	2020-01-13	356	A
USGS	01116500	2020-01-14	340	A
USGS	01116500	2020-01-15	319	A
USGS	01116500	2020-01-16	318	A
USGS	01116500	2020-01-17	310	A
USGS	01116500	2020-01-18	261	A
USGS	01116500	2020-01-19	278	A
USGS	01116500	2020-01-20	264	A
USGS	01116500	2020-01-21	232	A
USGS	01116500	2020-01-22	215	A
USGS	01116500	2020-01-23	205	A
USGS	01116500	2020-01-24	186	A
USGS	01116500	2020-01-25	210	A
USGS	01116500	2020-01-26	494	A
USGS	01116500	2020-01-27	392	A
USGS	01116500	2020-01-28	386	A
