# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_waterdata_support@usgs.gov
# retrieved: 2023-07-14 12:31:14 EDT       (vaww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 011230695 SHETUCKET RIVER AT TAFTVILLE, CT
# -----------------------------------------------------------------------------------
#
# Data provided for site 011230695
#            TS   parameter     statistic     Description
#         64432       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
# 
agency_cd	site_no	datetime	64432_00060_00003	64432_00060_00003_cd
5s	15s	20d	14n	10s
USGS	011230695	2020-01-01	2930	A
USGS	011230695	2020-01-02	2390	A
USGS	011230695	2020-01-03	1920	A
USGS	011230695	2020-01-04	1680	A
USGS	011230695	2020-01-05	1690	A
USGS	011230695	2020-01-06	1600	A
USGS	011230695	2020-01-07	1450	A
USGS	011230695	2020-01-08	1340	A
USGS	011230695	2020-01-09	1190	A
USGS	011230695	2020-01-10	1060	A
USGS	011230695	2020-01-11	1030	A
USGS	011230695	2020-01-12	1190	A
USGS	011230695	2020-01-13	1250	A
USGS	011230695	2020-01-14	1140	A
USGS	011230695	2020-01-15	1060	A
USGS	011230695	2020-01-16	1020	A
USGS	011230695	2020-01-17	1020	A
USGS	011230695	2020-01-18	803	A
USGS	011230695	2020-01-19	800	A
USGS	011230695	2020-01-20	870	A
USGS	011230695	2020-01-21	692	A
USGS	011230695	2020-01-22	712	A
USGS	011230695	2020-01-23	709	A
USGS	011230695	2020-01-24	744	A
USGS	011230695	2020-01-25	876	A
USGS	011230695	2020-01-26	2640	A
USGS	011230695	2020-01-27	2170	A
USGS	011230695	2020-01-28	2050	A
USGS	011230695	2020-01-29	1630	A
USGS	011230695	2020-01-30	1140	A
USGS	011230695	2020-01-31	975	A
USGS	011230695	2020-02-01	968	A
USGS	011230695	2020-02-02	967	A
USGS	011230695	2020-02-03	944	A
USGS	011230695	2020-02-04	877	A
USGS	011230695	2020-02-05	831	A
USGS	011230695	2020-02-06	919	A
USGS	011230695	2020-02-07	1170	A
USGS	011230695	2020-02-08	1530	A
USGS	011230695	2020-02-09	1190	A
USGS	011230695	2020-02-10	1090	A
USGS	011230695	2020-02-11	1350	A
USGS	011230695	2020-02-12	1570	A
USGS	011230695	2020-02-13	1890	A
USGS	011230695	2020-02-14	2300	A
USGS	011230695	2020-02-15	1740	A
USGS	011230695	2020-02-16	1530	A
USGS	011230695	2020-02-17	1350	A
USGS	011230695	2020-02-18	1220	A
USGS	011230695	2020-02-19	1250	A
USGS	011230695	2020-02-20	1190	A
USGS	011230695	2020-02-21	1050	A
USGS	011230695	2020-02-22	963	A
USGS	011230695	2020-02-23	926	A
USGS	011230695	2020-02-24	895	A
USGS	011230695	2020-02-25	917	A
USGS	011230695	2020-02-26	940	A
USGS	011230695	2020-02-27	1530	A
USGS	011230695	2020-02-28	1720	A
USGS	011230695	2020-02-29	1410	A
USGS	011230695	2020-03-01	1210	A
USGS	011230695	2020-03-02	1110	A
USGS	011230695	2020-03-03	1060	A
USGS	011230695	2020-03-04	1100	A
USGS	011230695	2020-03-05	1030	A
USGS	011230695	2020-03-06	913	A
USGS	011230695	2020-03-07	855	A
USGS	011230695	2020-03-08	803	A
USGS	011230695	2020-03-09	768	A
USGS	011230695	2020-03-10	736	A
USGS	011230695	2020-03-11	733	A
USGS	011230695	2020-03-12	680	A
USGS	011230695	2020-03-13	855	A
USGS	011230695	2020-03-14	1180	A
USGS	011230695	2020-03-15	1030	A
USGS	011230695	2020-03-16	886	A
USGS	011230695	2020-03-17	809	A
USGS	011230695	2020-03-18	814	A
USGS	011230695	2020-03-19	1160	A
USGS	011230695	2020-03-20	1650	A
USGS	011230695	2020-03-21	1290	A
USGS	011230695	2020-03-22	1100	A
USGS	011230695	2020-03-23	1190	A
USGS	011230695	2020-03-24	3320	A
USGS	011230695	2020-03-25	2770	A
USGS	011230695	2020-03-26	1930	A
USGS	011230695	2020-03-27	1670	A
USGS	011230695	2020-03-28	1390	A
USGS	011230695	2020-03-29	1880	A
USGS	011230695	2020-03-30	2300	A
USGS	011230695	2020-03-31	1850	A
USGS	011230695	2020-04-01	1590	A
USGS	011230695	2020-04-02	1380	A
USGS	011230695	2020-04-03	1360	A
USGS	011230695	2020-04-04	1410	A
USGS	011230695	2020-04-05	1300	A
USGS	011230695	2020-04-06	1180	A
USGS	011230695	2020-04-07	1070	A
USGS	011230695	2020-04-08	1020	A
USGS	011230695	2020-04-09	1300	A
USGS	011230695	2020-04-10	1950	A
USGS	011230695	2020-04-11	1650	A
USGS	011230695	2020-04-12	1310	A
USGS	011230695	2020-04-13	2380	A
USGS	011230695	2020-04-14	6060	A
USGS	011230695	2020-04-15	4250	A
USGS	011230695	2020-04-16	2770	A
USGS	011230695	2020-04-17	2110	A
USGS	011230695	2020-04-18	2200	A
USGS	011230695	2020-04-19	2450	A
USGS	011230695	2020-04-20	2090	A
USGS	011230695	2020-04-21	1780	A
USGS	011230695	2020-04-22	2330	A
USGS	011230695	2020-04-23	2080	A
USGS	011230695	2020-04-24	1800	A
USGS	011230695	2020-04-25	1770	A
USGS	011230695	2020-04-26	1610	A
USGS	011230695	2020-04-27	1630	A
USGS	011230695	2020-04-28	1580	A
USGS	011230695	2020-04-29	1470	A
USGS	011230695	2020-04-30	1490	A
USGS	011230695	2020-05-01	2930	A
USGS	011230695	2020-05-02	3120	A
USGS	011230695	2020-05-03	2430	A
USGS	011230695	2020-05-04	2010	A
USGS	011230695	2020-05-05	1710	A
USGS	011230695	2020-05-06	1500	A
USGS	011230695	2020-05-07	1440	A
USGS	011230695	2020-05-08	1350	A
USGS	011230695	2020-05-09	1610	A
USGS	011230695	2020-05-10	1520	A
USGS	011230695	2020-05-11	1440	A
USGS	011230695	2020-05-12	1430	A
USGS	011230695	2020-05-13	1300	A
USGS	011230695	2020-05-14	1140	A
USGS	011230695	2020-05-15	1140	A
USGS	011230695	2020-05-16	1620	A
USGS	011230695	2020-05-17	1670	A
USGS	011230695	2020-05-18	1390	A
USGS	011230695	2020-05-19	1150	A
USGS	011230695	2020-05-20	982	A
USGS	011230695	2020-05-21	826	A
USGS	011230695	2020-05-22	776	A
USGS	011230695	2020-05-23	779	A
USGS	011230695	2020-05-24	792	A
USGS	011230695	2020-05-25	741	A
USGS	011230695	2020-05-26	714	A
USGS	011230695	2020-05-27	644	A
USGS	011230695	2020-05-28	527	A
USGS	011230695	2020-05-29	575	A
USGS	011230695	2020-05-30	606	A
USGS	011230695	2020-05-31	541	A
USGS	011230695	2020-06-01	468	A
USGS	011230695	2020-06-02	449	A
USGS	011230695	2020-06-03	431	A
USGS	011230695	2020-06-04	435	A
USGS	011230695	2020-06-05	410	A
USGS	011230695	2020-06-06	523	A
USGS	011230695	2020-06-07	542	A
USGS	011230695	2020-06-08	483	A
USGS	011230695	2020-06-09	436	A
USGS	011230695	2020-06-10	378	A
USGS	011230695	2020-06-11	341	A
USGS	011230695	2020-06-12	469	A
USGS	011230695	2020-06-13	473	A
USGS	011230695	2020-06-14	393	A
USGS	011230695	2020-06-15	370	A
USGS	011230695	2020-06-16	348	A
USGS	011230695	2020-06-17	311	A
USGS	011230695	2020-06-18	327	A
USGS	011230695	2020-06-19	308	A
USGS	011230695	2020-06-20	293	A
USGS	011230695	2020-06-21	287	A
USGS	011230695	2020-06-22	249	A
USGS	011230695	2020-06-23	294	A
USGS	011230695	2020-06-24	239	A
USGS	011230695	2020-06-25	244	A
USGS	011230695	2020-06-26	207	A
USGS	011230695	2020-06-27	203	A
USGS	011230695	2020-06-28	203	A
USGS	011230695	2020-06-29	205	A
USGS	011230695	2020-06-30	490	A
USGS	011230695	2020-07-01	525	A
USGS	011230695	2020-07-02	670	A
USGS	011230695	2020-07-03	626	A
USGS	011230695	2020-07-04	639	A
USGS	011230695	2020-07-05	478	A
USGS	011230695	2020-07-06	385	A
USGS	011230695	2020-07-07	301	A
USGS	011230695	2020-07-08	301	A
USGS	011230695	2020-07-09	241	A
USGS	011230695	2020-07-10	239	A
USGS	011230695	2020-07-11	231	A
USGS	011230695	2020-07-12	221	A
USGS	011230695	2020-07-13	174	A
USGS	011230695	2020-07-14	331	A
USGS	011230695	2020-07-15	398	A
USGS	011230695	2020-07-16	333	A
USGS	011230695	2020-07-17	291	A
USGS	011230695	2020-07-18	259	A
USGS	011230695	2020-07-19	226	A
USGS	011230695	2020-07-20	190	A
USGS	011230695	2020-07-21	182	A
USGS	011230695	2020-07-22	159	A
USGS	011230695	2020-07-23	148	A
USGS	011230695	2020-07-24	184	A
USGS	011230695	2020-07-25	169	A
USGS	011230695	2020-07-26	151	A
USGS	011230695	2020-07-27	136	A
USGS	011230695	2020-07-28	126	A
USGS	011230695	2020-07-29	127	A
USGS	011230695	2020-07-30	118	A
USGS	011230695	2020-07-31	115	A
USGS	011230695	2020-08-01	107	A
USGS	011230695	2020-08-02	104	A
USGS	011230695	2020-08-03	80.2	A
USGS	011230695	2020-08-04	83.6	A
USGS	011230695	2020-08-05	185	A
USGS	011230695	2020-08-06	129	A
USGS	011230695	2020-08-07	124	A
USGS	011230695	2020-08-08	99.8	A
USGS	011230695	2020-08-09	102	A
USGS	011230695	2020-08-10	92.1	A
USGS	011230695	2020-08-11	83.5	A
USGS	011230695	2020-08-12	99.4	A
USGS	011230695	2020-08-13	88.7	A
USGS	011230695	2020-08-14	88.8	A
USGS	011230695	2020-08-15	86.4	A
USGS	011230695	2020-08-16	81.7	A
USGS	011230695	2020-08-17	94.5	A
USGS	011230695	2020-08-18	101	A
USGS	011230695	2020-08-19	93.4	A
USGS	011230695	2020-08-20	91.9	A
USGS	011230695	2020-08-21	86.9	A
USGS	011230695	2020-08-22	82.9	A
USGS	011230695	2020-08-23	85.4	A
