# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_waterdata_support@usgs.gov
# retrieved: 2023-07-14 12:29:34 EDT       (vaww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 01108000 TAUNTON RIVER NEAR BRIDGEWATER, MA
# -----------------------------------------------------------------------------------
#
# Data provided for site 01108000
#            TS   parameter     statistic     Description
#         64277       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
# 
agency_cd	site_no	datetime	64277_00060_00003	64277_00060_00003_cd
5s	15s	20d	14n	10s
USGS	01108000	2020-01-01	1360	A
USGS	01108000	2020-01-02	1290	A
USGS	01108000	2020-01-03	1150	A
USGS	01108000	2020-01-04	1020	A
USGS	01108000	2020-01-05	975	A
USGS	01108000	2020-01-06	945	A
USGS	01108000	2020-01-07	875	A
USGS	01108000	2020-01-08	811	A
USGS	01108000	2020-01-09	756	A
USGS	01108000	2020-01-10	696	A
USGS	01108000	2020-01-11	672	A
USGS	01108000	2020-01-12	672	A
USGS	01108000	2020-01-13	666	A
USGS	01108000	2020-01-14	634	A
USGS	01108000	2020-01-15	608	A
USGS	01108000	2020-01-16	585	A
USGS	01108000	2020-01-17	553	A
USGS	01108000	2020-01-18	492	A
USGS	01108000	2020-01-19	471	A
USGS	01108000	2020-01-20	461	A
USGS	01108000	2020-01-21	431	A
USGS	01108000	2020-01-22	416	A
USGS	01108000	2020-01-23	405	A
USGS	01108000	2020-01-24	400	A
USGS	01108000	2020-01-25	420	A
USGS	01108000	2020-01-26	758	A
USGS	01108000	2020-01-27	861	A
USGS	01108000	2020-01-28	773	A
USGS	01108000	2020-01-29	713	A
USGS	01108000	2020-01-30	652	A
USGS	01108000	2020-01-31	596	A
USGS	01108000	2020-02-01	563	A
USGS	01108000	2020-02-02	548	A
USGS	01108000	2020-02-03	533	A
USGS	01108000	2020-02-04	513	A
USGS	01108000	2020-02-05	503	A
USGS	01108000	2020-02-06	547	A
USGS	01108000	2020-02-07	685	A
USGS	01108000	2020-02-08	744	A
USGS	01108000	2020-02-09	670	A
USGS	01108000	2020-02-10	613	A
USGS	01108000	2020-02-11	604	A
USGS	01108000	2020-02-12	643	A
USGS	01108000	2020-02-13	711	A
USGS	01108000	2020-02-14	878	A
USGS	01108000	2020-02-15	777	A
USGS	01108000	2020-02-16	664	A
USGS	01108000	2020-02-17	604	A
USGS	01108000	2020-02-18	559	A
USGS	01108000	2020-02-19	553	A
USGS	01108000	2020-02-20	532	A
USGS	01108000	2020-02-21	482	A
USGS	01108000	2020-02-22	449	A
USGS	01108000	2020-02-23	432	A
USGS	01108000	2020-02-24	419	A
USGS	01108000	2020-02-25	411	A
USGS	01108000	2020-02-26	405	A
USGS	01108000	2020-02-27	514	A
USGS	01108000	2020-02-28	686	A
USGS	01108000	2020-02-29	626	A
USGS	01108000	2020-03-01	567	A
USGS	01108000	2020-03-02	505	A
USGS	01108000	2020-03-03	472	A
USGS	01108000	2020-03-04	467	A
USGS	01108000	2020-03-05	448	A
USGS	01108000	2020-03-06	410	A
USGS	01108000	2020-03-07	397	A
USGS	01108000	2020-03-08	395	A
USGS	01108000	2020-03-09	377	A
USGS	01108000	2020-03-10	352	A
USGS	01108000	2020-03-11	334	A
USGS	01108000	2020-03-12	310	A
USGS	01108000	2020-03-13	307	A
USGS	01108000	2020-03-14	332	A
USGS	01108000	2020-03-15	314	A
USGS	01108000	2020-03-16	291	A
USGS	01108000	2020-03-17	278	A
USGS	01108000	2020-03-18	279	A
USGS	01108000	2020-03-19	310	A
USGS	01108000	2020-03-20	444	A
USGS	01108000	2020-03-21	425	A
USGS	01108000	2020-03-22	381	A
USGS	01108000	2020-03-23	353	A
USGS	01108000	2020-03-24	841	A
USGS	01108000	2020-03-25	1100	A
USGS	01108000	2020-03-26	986	A
USGS	01108000	2020-03-27	825	A
USGS	01108000	2020-03-28	669	A
USGS	01108000	2020-03-29	633	A
USGS	01108000	2020-03-30	816	A
USGS	01108000	2020-03-31	870	A
USGS	01108000	2020-04-01	791	A
USGS	01108000	2020-04-02	697	A
USGS	01108000	2020-04-03	811	A
USGS	01108000	2020-04-04	1420	A
USGS	01108000	2020-04-05	1680	A
USGS	01108000	2020-04-06	1620	A
USGS	01108000	2020-04-07	1390	A
USGS	01108000	2020-04-08	1130	A
USGS	01108000	2020-04-09	951	A
USGS	01108000	2020-04-10	992	A
USGS	01108000	2020-04-11	960	A
USGS	01108000	2020-04-12	841	A
USGS	01108000	2020-04-13	806	A
USGS	01108000	2020-04-14	1130	A
USGS	01108000	2020-04-15	1250	A
USGS	01108000	2020-04-16	1170	A
USGS	01108000	2020-04-17	1030	A
USGS	01108000	2020-04-18	976	A
USGS	01108000	2020-04-19	1050	A
USGS	01108000	2020-04-20	997	A
USGS	01108000	2020-04-21	890	A
USGS	01108000	2020-04-22	856	A
USGS	01108000	2020-04-23	772	A
USGS	01108000	2020-04-24	705	A
USGS	01108000	2020-04-25	714	A
USGS	01108000	2020-04-26	674	A
USGS	01108000	2020-04-27	799	A
USGS	01108000	2020-04-28	1060	A
USGS	01108000	2020-04-29	1150	A
USGS	01108000	2020-04-30	1050	A
USGS	01108000	2020-05-01	1040	A
USGS	01108000	2020-05-02	1210	A
USGS	01108000	2020-05-03	1190	A
USGS	01108000	2020-05-04	1060	A
USGS	01108000	2020-05-05	898	A
USGS	01108000	2020-05-06	747	A
USGS	01108000	2020-05-07	652	A
USGS	01108000	2020-05-08	587	A
USGS	01108000	2020-05-09	608	A
USGS	01108000	2020-05-10	611	A
USGS	01108000	2020-05-11	553	A
USGS	01108000	2020-05-12	532	A
USGS	01108000	2020-05-13	486	A
USGS	01108000	2020-05-14	436	A
USGS	01108000	2020-05-15	408	A
USGS	01108000	2020-05-16	490	A
USGS	01108000	2020-05-17	520	A
USGS	01108000	2020-05-18	475	A
USGS	01108000	2020-05-19	432	A
USGS	01108000	2020-05-20	383	A
USGS	01108000	2020-05-21	348	A
USGS	01108000	2020-05-22	328	A
USGS	01108000	2020-05-23	299	A
USGS	01108000	2020-05-24	282	A
USGS	01108000	2020-05-25	265	A
USGS	01108000	2020-05-26	253	A
USGS	01108000	2020-05-27	243	A
USGS	01108000	2020-05-28	240	A
USGS	01108000	2020-05-29	244	A
USGS	01108000	2020-05-30	247	A
USGS	01108000	2020-05-31	243	A
USGS	01108000	2020-06-01	246	A
USGS	01108000	2020-06-02	245	A
USGS	01108000	2020-06-03	235	A
USGS	01108000	2020-06-04	227	A
