# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_waterdata_support@usgs.gov
# retrieved: 2023-07-14 12:28:20 EDT       (vaww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 01109403 TEN MILE R., PAWTUCKET AVE. AT E. PROVIDENCE, RI
# -----------------------------------------------------------------------------------
#
# Data provided for site 01109403
#            TS   parameter     statistic     Description
#         64286       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
# 
agency_cd	site_no	datetime	64286_00060_00003	64286_00060_00003_cd
5s	15s	20d	14n	10s
USGS	01109403	2020-01-01	231	A
USGS	01109403	2020-01-02	182	A
USGS	01109403	2020-01-03	161	A
USGS	01109403	2020-01-04	151	A
USGS	01109403	2020-01-05	154	A
USGS	01109403	2020-01-06	144	A
USGS	01109403	2020-01-07	131	A
USGS	01109403	2020-01-08	127	A
USGS	01109403	2020-01-09	116	A
USGS	01109403	2020-01-10	109	A
USGS	01109403	2020-01-11	107	A
USGS	01109403	2020-01-12	116	A
USGS	01109403	2020-01-13	112	A
USGS	01109403	2020-01-14	106	A
USGS	01109403	2020-01-15	101	A
USGS	01109403	2020-01-16	100	A
USGS	01109403	2020-01-17	91.8	A
USGS	01109403	2020-01-18	80.4	A
USGS	01109403	2020-01-19	84.0	A
USGS	01109403	2020-01-20	78.3	A
USGS	01109403	2020-01-21	72.3	A
USGS	01109403	2020-01-22	66.7	A
USGS	01109403	2020-01-23	64.6	A
USGS	01109403	2020-01-24	64.9	A
USGS	01109403	2020-01-25	70.7	A
USGS	01109403	2020-01-26	122	A
USGS	01109403	2020-01-27	121	A
USGS	01109403	2020-01-28	106	A
USGS	01109403	2020-01-29	95.6	A
USGS	01109403	2020-01-30	84.0	A
USGS	01109403	2020-01-31	76.8	A
USGS	01109403	2020-02-01	74.9	A
USGS	01109403	2020-02-02	73.3	A
USGS	01109403	2020-02-03	71.1	A
USGS	01109403	2020-02-04	68.4	A
USGS	01109403	2020-02-05	68.9	A
USGS	01109403	2020-02-06	86.6	A
USGS	01109403	2020-02-07	113	A
USGS	01109403	2020-02-08	114	A
USGS	01109403	2020-02-09	95.2	A
USGS	01109403	2020-02-10	87.8	A
USGS	01109403	2020-02-11	101	A
USGS	01109403	2020-02-12	109	A
USGS	01109403	2020-02-13	137	A
USGS	01109403	2020-02-14	152	A
USGS	01109403	2020-02-15	118	A
USGS	01109403	2020-02-16	107	A
USGS	01109403	2020-02-17	106	A
USGS	01109403	2020-02-18	103	A
USGS	01109403	2020-02-19	106	A
USGS	01109403	2020-02-20	99.0	A
USGS	01109403	2020-02-21	88.9	A
USGS	01109403	2020-02-22	82.7	A
USGS	01109403	2020-02-23	79.8	A
USGS	01109403	2020-02-24	78.6	A
USGS	01109403	2020-02-25	79.5	A
USGS	01109403	2020-02-26	80.8	A
USGS	01109403	2020-02-27	116	A
USGS	01109403	2020-02-28	125	A
USGS	01109403	2020-02-29	104	A
USGS	01109403	2020-03-01	87.4	A
USGS	01109403	2020-03-02	79.9	A
USGS	01109403	2020-03-03	79.9	A
USGS	01109403	2020-03-04	90.4	A
USGS	01109403	2020-03-05	79.4	A
USGS	01109403	2020-03-06	72.8	A
USGS	01109403	2020-03-07	71.4	A
USGS	01109403	2020-03-08	62.7	A
USGS	01109403	2020-03-09	61.1	A
USGS	01109403	2020-03-10	59.2	A
USGS	01109403	2020-03-11	59.0	A
USGS	01109403	2020-03-12	56.5	A
USGS	01109403	2020-03-13	61.1	A
USGS	01109403	2020-03-14	65.7	A
USGS	01109403	2020-03-15	60.4	A
USGS	01109403	2020-03-16	54.1	A
USGS	01109403	2020-03-17	55.6	A
USGS	01109403	2020-03-18	54.9	A
USGS	01109403	2020-03-19	88.0	A
USGS	01109403	2020-03-20	120	A
USGS	01109403	2020-03-21	112	A
USGS	01109403	2020-03-22	91.0	A
USGS	01109403	2020-03-23	95.6	A
USGS	01109403	2020-03-24	243	A
USGS	01109403	2020-03-25	297	A
USGS	01109403	2020-03-26	211	A
USGS	01109403	2020-03-27	168	A
USGS	01109403	2020-03-28	144	A
USGS	01109403	2020-03-29	180	A
USGS	01109403	2020-03-30	227	A
USGS	01109403	2020-03-31	217	A
USGS	01109403	2020-04-01	179	A
USGS	01109403	2020-04-02	154	A
USGS	01109403	2020-04-03	184	A
USGS	01109403	2020-04-04	244	A
USGS	01109403	2020-04-05	233	A
USGS	01109403	2020-04-06	190	A
USGS	01109403	2020-04-07	160	A
USGS	01109403	2020-04-08	145	A
USGS	01109403	2020-04-09	168	A
USGS	01109403	2020-04-10	264	A
USGS	01109403	2020-04-11	235	A
USGS	01109403	2020-04-12	176	A
USGS	01109403	2020-04-13	219	A
USGS	01109403	2020-04-14	527	A
USGS	01109403	2020-04-15	511	A
USGS	01109403	2020-04-16	328	A
USGS	01109403	2020-04-17	252	A
USGS	01109403	2020-04-18	261	A
USGS	01109403	2020-04-19	270	A
USGS	01109403	2020-04-20	243	A
USGS	01109403	2020-04-21	212	A
USGS	01109403	2020-04-22	225	A
USGS	01109403	2020-04-23	203	A
USGS	01109403	2020-04-24	193	A
USGS	01109403	2020-04-25	188	A
USGS	01109403	2020-04-26	182	A
USGS	01109403	2020-04-27	197	A
USGS	01109403	2020-04-28	211	A
USGS	01109403	2020-04-29	196	A
USGS	01109403	2020-04-30	179	A
USGS	01109403	2020-05-01	334	A
USGS	01109403	2020-05-02	521	A
USGS	01109403	2020-05-03	380	A
USGS	01109403	2020-05-04	281	A
USGS	01109403	2020-05-05	227	A
USGS	01109403	2020-05-06	195	A
USGS	01109403	2020-05-07	183	A
USGS	01109403	2020-05-08	164	A
USGS	01109403	2020-05-09	184	A
USGS	01109403	2020-05-10	173	A
USGS	01109403	2020-05-11	153	A
USGS	01109403	2020-05-12	162	A
USGS	01109403	2020-05-13	149	A
USGS	01109403	2020-05-14	130	A
USGS	01109403	2020-05-15	125	A
USGS	01109403	2020-05-16	143	A
USGS	01109403	2020-05-17	138	A
USGS	01109403	2020-05-18	126	A
USGS	01109403	2020-05-19	114	A
USGS	01109403	2020-05-20	101	A
USGS	01109403	2020-05-21	91.4	A
USGS	01109403	2020-05-22	86.8	A
USGS	01109403	2020-05-23	85.0	A
USGS	01109403	2020-05-24	79.0	A
USGS	01109403	2020-05-25	74.5	A
USGS	01109403	2020-05-26	72.1	A
USGS	01109403	2020-05-27	69.1	A
USGS	01109403	2020-05-28	67.3	A
USGS	01109403	2020-05-29	70.2	A
USGS	01109403	2020-05-30	73.7	A
USGS	01109403	2020-05-31	64.9	A
USGS	01109403	2020-06-01	56.5	A
USGS	01109403	2020-06-02	53.5	A
USGS	01109403	2020-06-03	53.0	A
USGS	01109403	2020-06-04	51.8	A
USGS	01109403	2020-06-05	51.9	A
USGS	01109403	2020-06-06	75.1	A
USGS	01109403	2020-06-07	103	A
USGS	01109403	2020-06-08	80.6	A
USGS	01109403	2020-06-09	63.2	A
USGS	01109403	2020-06-10	55.6	A
USGS	01109403	2020-06-11	57.6	A
USGS	01109403	2020-06-12	57.7	A
USGS	01109403	2020-06-13	50.9	A
USGS	01109403	2020-06-14	45.6	A
USGS	01109403	2020-06-15	42.9	A
USGS	01109403	2020-06-16	39.8	A
USGS	01109403	2020-06-17	37.1	A
USGS	01109403	2020-06-18	35.9	A
USGS	01109403	2020-06-19	34.4	A
USGS	01109403	2020-06-20	32.6	A
USGS	01109403	2020-06-21	30.0	A
USGS	01109403	2020-06-22	29.2	A
USGS	01109403	2020-06-23	27.4	A
USGS	01109403	2020-06-24	27.8	A
USGS	01109403	2020-06-25	30.4	A
USGS	01109403	2020-06-26	27.6	A
USGS	01109403	2020-06-27	31.6	A
USGS	01109403	2020-06-28	48.9	A
USGS	01109403	2020-06-29	70.4	A
USGS	01109403	2020-06-30	60.0	A
USGS	01109403	2020-07-01	92.4	A
USGS	01109403	2020-07-02	162	A
USGS	01109403	2020-07-03	105	A
USGS	01109403	2020-07-04	68.7	A
USGS	01109403	2020-07-05	55.3	A
USGS	01109403	2020-07-06	50.3	A
USGS	01109403	2020-07-07	44.9	A
USGS	01109403	2020-07-08	42.5	A
USGS	01109403	2020-07-09	39.2	A
USGS	01109403	2020-07-10	36.2	A
USGS	01109403	2020-07-11	33.4	A
USGS	01109403	2020-07-12	32.0	A
USGS	01109403	2020-07-13	29.5	A
USGS	01109403	2020-07-14	41.2	A
USGS	01109403	2020-07-15	45.7	A
USGS	01109403	2020-07-16	39.8	A
USGS	01109403	2020-07-17	42.0	A
USGS	01109403	2020-07-18	39.9	A
USGS	01109403	2020-07-19	33.4	A
