# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_waterdata_support@usgs.gov
# retrieved: 2023-07-14 12:27:16 EDT       (vaww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 01114500 WOONASQUATUCKET RIVER AT CENTERDALE, RI
# -----------------------------------------------------------------------------------
#
# Data provided for site 01114500
#            TS   parameter     statistic     Description
#         64318       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
# 
agency_cd	site_no	datetime	64318_00060_00003	64318_00060_00003_cd
5s	15s	20d	14n	10s
USGS	01114500	2020-01-01	194	A
USGS	01114500	2020-01-02	168	A
USGS	01114500	2020-01-03	149	A
USGS	01114500	2020-01-04	141	A
USGS	01114500	2020-01-05	139	A
USGS	01114500	2020-01-06	127	A
USGS	01114500	2020-01-07	118	A
USGS	01114500	2020-01-08	113	A
USGS	01114500	2020-01-09	104	A
USGS	01114500	2020-01-10	101	A
USGS	01114500	2020-01-11	94.9	A
USGS	01114500	2020-01-12	95.2	A
USGS	01114500	2020-01-13	98.9	A
USGS	01114500	2020-01-14	95.4	A
USGS	01114500	2020-01-15	88.0	A
USGS	01114500	2020-01-16	82.3	A
USGS	01114500	2020-01-17	76.1	A
USGS	01114500	2020-01-18	72.1	A
USGS	01114500	2020-01-19	74.0	A
USGS	01114500	2020-01-20	73.5	A
USGS	01114500	2020-01-21	72.3	A
USGS	01114500	2020-01-22	71.5	A
USGS	01114500	2020-01-23	69.2	A
USGS	01114500	2020-01-24	66.5	A
USGS	01114500	2020-01-25	76.0	A
USGS	01114500	2020-01-26	118	A
USGS	01114500	2020-01-27	128	A
USGS	01114500	2020-01-28	124	A
USGS	01114500	2020-01-29	115	A
USGS	01114500	2020-01-30	106	A
USGS	01114500	2020-01-31	88.9	A
USGS	01114500	2020-02-01	84.8	A
USGS	01114500	2020-02-02	86.2	A
USGS	01114500	2020-02-03	81.9	A
USGS	01114500	2020-02-04	78.2	A
USGS	01114500	2020-02-05	80.5	A
USGS	01114500	2020-02-06	90.5	A
USGS	01114500	2020-02-07	93.5	A
USGS	01114500	2020-02-08	94.7	A
USGS	01114500	2020-02-09	93.0	A
USGS	01114500	2020-02-10	97.5	A
